Mes,InfSub
2003-04,0.33871242
2003-05,0.26527837
2003-06,0.10885814
2003-07,0.13570032
2003-08,0.35806209
2003-09,0.47932903
2003-10,0.21463288
2003-11,0.26272266
2003-12,0.2892994
2004-01,0.38488019
2004-02,0.45067591
2004-03,0.3667199
2004-04,0.32937956
2004-05,0.23076101
2004-06,0.26598469
2004-07,0.17417317
2004-08,0.27790633
2004-09,0.57240056
2004-10,0.28720927
2004-11,0.23749418
2004-12,0.27892341
2005-01,0.3746295
2005-02,0.38826018
2005-03,0.28514429
2005-04,0.19010924
2005-05,0.19359787
2005-06,0.24274572
2005-07,0.20570812
2005-08,0.13803464
2005-09,0.48070271
2005-10,0.23868804
2005-11,0.20582484
2005-12,0.28254758
2006-01,0.21774744
2006-02,0.32684505
2006-03,0.39648973
2006-04,0.33939297
2006-05,0.13519486
2006-06,0.30209328
2006-07,0.25857153
2006-08,0.17424008
2006-09,0.54702256
2006-10,0.2310543
2006-11,0.26199536
2006-12,0.39575064
2007-01,0.4642471
2007-02,0.38037739
2007-03,0.29468666
2007-04,0.19349113
2007-05,0.19778999
2007-06,0.28576823
2007-07,0.30372784
2007-08,0.27060257
2007-09,0.47832063
2007-10,0.32770149
2007-11,0.22679345
2007-12,0.3821992
2008-01,0.43370014
2008-02,0.42991253
2008-03,0.4876124
2008-04,0.3932215
2008-05,0.47679259
2008-06,0.46968524
2008-07,0.40133076
2008-08,0.41304468
2008-09,0.58371586
2008-10,0.28628506
2008-11,0.455283
2008-12,0.57135515
2009-01,0.4392175
2009-02,0.46517385
2009-03,0.51516969
2009-04,0.42321452
2009-05,0.19890411
2009-06,0.25203309
2009-07,0.30620946
2009-08,0.15382774
2009-09,0.39536142
2009-10,0.32299851
2009-11,0.14381349
2009-12,0.46515912
2010-01,0.75143154
2010-02,0.41312972
2010-03,0.35090723
2010-04,0.10776602
2010-05,0.23317997
2010-06,0.13768353
2010-07,0.20836883
2010-08,0.09684462
2010-09,0.36191152
2010-10,0.19118693
2010-11,0.23701889
2010-12,0.43163688
2011-01,0.45717881
2011-02,0.40247433
2011-03,0.2984811
2011-04,0.07541675
2011-05,0.17804829
2011-06,0.19350149
2011-07,0.22466283
2011-08,0.11983546
2011-09,0.2659693
2011-10,0.25922115
2011-11,0.32271086
2011-12,0.50604878
2012-01,0.44807146
2012-02,0.42521936
2012-03,0.24438201
2012-04,0.15061958
2012-05,0.26560044
2012-06,0.21588421
2012-07,0.3114461
2012-08,0.22437305
2012-09,0.17703865
2012-10,0.22776348
2012-11,0.05171478
2012-12,0.12089015
2013-01,0.42442082
2013-02,0.50891083
2013-03,0.30085971
